expname,mjd,mag,magerr,snr,filter,x,y,flux,dflux,peakval,peakfit,dpeak,chi/N,skyfit,skyval,major,minor,snrdet,snrlimit,ra,dec,zp,apfit,uJy,duJy,mag5sig,texp
02a58473o1047o,58473.67021895,>19.03,0.00,3.0,o,9053.66,194.12,-642.8,2055.5,164.0,-15.3,31.8,2.47,143.4,144.1,2.46,2.27,1.0,3.0,197.45034,-23.38147,22.155,-0.434,-21.190008962253454,44.04197941174247,18.18,30.0
02a58493o0943c,58493.63225075,>20.54,0.00,3.0,c,2891.21,4074.48,1009.2,471.6,152.0,-6.8,5.5,7.28,186.1,186.3,2.92,2.77,1.0,3.0,197.45034,-23.38147,22.165,-0.39,-12.979270346802032,10.49793925108988,19.46,30.0
02a58493o0965c,58493.64232545,20.99,0.56,1.48,c,2927.14,4112.88,-160.5,498.8,161.0,9.3,6.3,11.17,177.1,184.9,2.57,2.57,1.0,3.0,197.45034,-23.38147,22.168,-0.404,14.642928457292673,9.919403148488582,19.57,30.0
02a58493o0969c,58493.64415495,>20.66,0.00,3.0,c,2854.47,4038.04,-110.7,403.6,177.0,-3.2,6.1,4.81,175.7,182.8,2.56,2.56,1.0,3.0,197.45034,-23.38147,22.169,-0.404,-4.994691330739708,9.521130349222567,19.58,30.0
02a58493o0986c,58493.65194135,>20.62,0.00,3.0,c,2834.45,4152.87,-822.8,499.6,176.0,-2.2,6.1,5.82,179.2,183.0,2.69,2.54,1.0,3.0,197.45034,-23.38147,22.171,-0.404,-3.5734476379271913,9.908195723343576,19.58,30.0
02a58497o0938o,58497.62915515,>20.52,0.00,3.0,o,2887.32,6011.85,1043.2,639.6,159.0,-25.0,9.7,18.75,183.4,183.8,2.18,1.99,1.0,3.0,197.45034,-23.38147,22.080,-0.449,-29.223237253379995,11.338616054311435,19.56,30.0
02a58497o0958o,58497.63831375,>20.60,0.00,3.0,o,2922.21,6050.76,271.4,596.8,184.0,-8.2,9.2,28.67,178.8,182.1,2.16,1.97,1.0,3.0,197.45034,-23.38147,22.083,-0.449,-9.375891543833268,10.519292951617814,19.58,30.0
02a58497o0991o,58497.65341895,19.88,0.24,3.96,o,2846.17,5972.45,-2162.0,525.3,147.0,36.4,9.2,23.78,156.7,182.6,2.14,1.95,1.0,3.0,197.45034,-23.38147,22.085,-0.447,40.665724457991814,10.278150137734196,19.58,30.0
02a58497o1010o,58497.66212215,>20.64,0.00,3.0,o,2827.12,6091.34,-933.0,549.2,162.0,-1.6,9.1,17.14,172.0,184.2,2.15,1.94,1.0,3.0,197.45034,-23.38147,22.086,-0.433,-1.762133946811489,10.022136822490342,19.58,30.0
02a58501o0611o,58501.64708865,>19.68,0.00,3.0,o,8035.98,8037.76,2610.5,436.0,186.0,-16.6,6.7,17.79,188.7,183.2,2.32,2.13,1.0,3.0,197.45034,-23.38147,20.979,-0.434,-60.09722538868936,24.256109042422814,18.36,30.0
02a58569o0486o,58569.46857945,>20.18,0.00,3.0,o,3996.98,8421.96,-1442.9,902.6,188.0,-13.8,11.0,9.24,183.4,186.8,2.74,2.08,1.0,3.0,197.45034,-23.38147,22.174,-0.425,-19.009545326651708,15.152536129939765,19.28,30.0
02a58569o0504o,58569.47694965,20.39,0.50,1.73,o,3978.86,8384.77,-4510.9,771.7,138.0,18.3,10.6,6.84,165.0,188.4,2.70,2.14,1.0,3.0,197.45034,-23.38147,22.175,-0.415,25.299234031292098,14.654201132879574,19.24,30.0
02a58569o0521o,58569.48476965,>20.12,0.00,3.0,o,4031.75,8465.89,-3037.6,794.1,189.0,8.1,13.2,8.13,171.9,179.9,2.46,2.04,1.0,3.0,197.45034,-23.38147,22.175,-0.424,9.806838846267981,15.981515156881153,19.3,30.0
02a58569o0537o,58569.49210665,20.64,0.61,1.32,o,4067.02,8351.28,-2588.3,604.9,208.0,12.7,9.6,11.66,179.9,183.3,2.84,2.37,1.0,3.0,197.45034,-23.38147,22.174,-0.402,20.22782335088812,15.290323162876057,19.16,30.0
02a58573o0486c,58573.44445325,19.57,0.20,4.88,c,650.89,604.63,70.5,603.9,195.0,35.1,7.2,7.22,178.4,185.5,2.61,2.36,1.0,3.0,197.45034,-23.38147,22.115,-0.4,53.91857080757747,11.060219652836402,19.5,30.0
02a58573o0490c,58573.44629225,>20.35,0.00,3.0,c,1517.63,10362.50,1443.7,479.8,189.0,-4.1,7.2,5.03,181.9,186.8,2.60,2.33,1.0,3.0,197.45034,-23.38147,21.946,-0.4,-7.237554898941652,12.709852505458514,19.33,30.0
02a58573o0502c,58573.45178645,19.85,0.43,2.06,c,631.82,568.25,879.0,590.7,140.0,14.6,7.1,3.99,174.7,174.0,2.67,2.39,1.0,3.0,197.45034,-23.38147,21.477,-0.394,41.585388525178274,20.22303140607984,18.78,30.0
02a58573o0506c,58573.45365095,>20.12,0.00,3.0,c,1500.41,10324.40,1050.0,464.0,220.0,-1.0,6.6,3.60,185.3,187.4,2.58,2.32,1.0,3.0,197.45034,-23.38147,21.609,-0.401,-2.3811482542013716,15.715578477729053,18.92,30.0
02a58573o0508c,58573.45456595,20.35,0.63,1.27,c,10145.20,606.32,-6715.3,734.7,167.0,13.2,10.4,3.94,162.4,180.5,2.60,2.36,1.0,3.0,197.45034,-23.38147,21.830,-0.4,26.262618646419988,20.691760145664237,19.16,30.0
02a58573o0519c,58573.45978275,20.78,0.71,1.08,c,9886.28,9911.52,-2.0,461.5,195.0,8.0,7.4,5.09,180.1,181.8,2.62,2.36,1.0,3.0,197.45034,-23.38147,21.711,-0.389,17.71666717343097,16.387917135423645,19.07,30.0
02a58573o0523c,58573.46197695,>19.96,0.00,3.0,c,9018.68,151.67,307.5,710.8,168.0,-6.4,9.2,3.72,194.4,191.0,2.58,2.30,1.0,3.0,197.45034,-23.38147,21.802,-0.399,-12.624269618078623,18.147387575988017,19.17,30.0
02a58573o0525c,58573.46289695,19.16,0.17,5.89,c,448.32,9982.42,3269.0,580.1,194.0,49.5,8.4,6.74,186.0,184.5,2.52,2.29,1.0,3.0,197.45034,-23.38147,22.008,-0.398,78.47294786293101,13.316621455527686,19.4,30.0
02a58573o0536c,58573.46878065,>20.53,0.00,3.0,c,707.33,524.96,-1720.5,505.6,142.0,-12.9,7.2,5.20,174.2,181.5,2.65,2.38,1.0,3.0,197.45034,-23.38147,22.175,-0.392,-19.058612785696084,10.63736527573735,19.52,30.0
02a58573o0539c,58573.47015355,>20.44,0.00,3.0,c,1571.01,10282.40,3641.8,555.8,230.0,-19.5,7.9,17.32,179.0,182.5,2.64,2.36,1.0,3.0,197.45034,-23.38147,22.171,-0.398,-28.722966154942725,11.636483724310128,19.51,30.0
02a58573o0541c,58573.47106905,>20.29,0.00,3.0,c,10179.70,642.41,-4337.4,663.3,170.0,4.8,9.4,4.12,168.6,181.1,2.61,2.34,1.0,3.0,197.45034,-23.38147,22.191,-0.398,6.8041886693551055,13.324869477487082,19.56,30.0
02a58573o0558c,58573.48043955,19.57,0.30,3.12,c,10202.30,525.59,-2767.3,830.6,171.0,28.7,9.2,3.30,174.5,185.3,2.66,2.41,1.0,3.0,197.45034,-23.38147,21.933,-0.394,53.95843204682062,17.296779610827514,19.24,30.0
02a58577o0515c,58577.45912945,20.77,0.48,1.78,c,5846.59,4551.88,-470.3,389.2,172.0,11.4,6.4,3.22,177.6,181.7,2.72,2.46,1.0,3.0,197.45034,-23.38147,22.181,-0.395,17.81917560498905,10.003747708064028,19.54,30.0
02a58577o0547c,58577.47376465,>20.61,0.00,3.0,c,5826.37,4517.17,242.7,470.8,181.0,-5.7,6.1,4.68,181.0,183.2,2.78,2.50,1.0,3.0,197.45034,-23.38147,22.178,-0.389,-9.228654887958825,9.876279792376987,19.54,30.0
02a58577o0565c,58577.48199275,>20.60,0.00,3.0,c,5880.45,4593.20,-461.6,425.5,157.0,-9.4,6.6,4.22,177.0,181.3,2.69,2.42,1.0,3.0,197.45034,-23.38147,22.178,-0.393,-14.307845598516879,10.045934143639508,19.59,30.0
02a58577o0575c,58577.48656605,>20.68,0.00,3.0,c,5896.83,4478.18,-457.5,364.8,197.0,-7.6,5.9,6.36,178.8,182.1,2.74,2.45,1.0,3.0,197.45034,-23.38147,22.174,-0.387,-11.90718180599264,9.243733244125865,19.54,30.0
02a58581o0530c,58581.47092305,>20.64,0.00,3.0,c,4386.90,2616.17,56.4,420.5,154.0,-9.8,6.1,5.14,173.6,182.0,2.86,2.36,1.0,3.0,197.45034,-23.38147,22.178,-0.382,-15.310270261821218,9.529862101745858,19.52,30.0
02a58581o0551c,58581.48063075,>20.55,0.00,3.0,c,4368.59,2578.16,282.3,402.0,183.0,-10.4,6.8,3.74,181.4,182.0,2.72,2.40,1.0,3.0,197.45034,-23.38147,22.172,-0.388,-15.888841411902416,10.388857846243885,19.55,30.0
