expname,mjd,mag,magerr,snr,filter,x,y,flux,dflux,peakval,peakfit,dpeak,chi/N,skyfit,skyval,major,minor,snrdet,snrlimit,ra,dec,zp,apfit,uJy,duJy,mag5sig,texp
01a58099o1020o,58099.65332375,17.84,0.22,4.39,o,8954.88,7726.10,2884.0,1748.2,252.0,84.8,19.3,3.87,122.9,123.2,3.46,2.92,1.0,3.0,197.44875,-23.3852777889,21.898,-0.423,266.5222971445563,60.65896621332473,17.93,30.0
01a58099o1031o,58099.65844035,18.22,0.64,1.24,o,8966.58,7596.34,1412.5,4239.6,668.0,63.1,50.9,1.91,148.1,149.9,3.51,3.01,1.0,3.0,197.44875,-23.3852777889,22.005,-0.418,187.060338795009,150.8933636238662,17.61,30.0
01a58103o0839o,58103.63768035,20.35,0.58,1.42,o,9042.09,8612.56,2184.3,550.8,109.0,9.2,6.5,6.07,183.3,182.9,4.02,3.15,1.0,3.0,197.44875,-23.3852777889,22.216,-0.391,26.254465399991798,18.54935055434203,18.93,30.0
01a58103o0856o,58103.64550535,20.20,0.56,1.48,o,9013.33,8553.31,-1335.6,645.2,203.0,9.8,6.6,3.96,175.4,182.5,4.13,3.37,1.0,3.0,197.44875,-23.3852777889,22.224,-0.379,30.177605265325308,20.323693341953774,18.89,30.0
01a58103o0868o,58103.65103505,18.51,0.17,6.01,o,9080.67,8616.17,1446.3,828.1,202.0,43.9,7.3,4.99,172.9,174.3,4.27,3.45,1.0,3.0,197.44875,-23.3852777889,22.226,-0.38,142.95199993285806,23.771061492252024,18.8,30.0
01a58103o0882o,58103.65753935,18.84,0.25,3.94,o,9090.92,8481.64,3750.6,888.3,122.0,33.5,8.5,4.79,179.1,172.7,4.17,3.45,1.0,3.0,197.44875,-23.3852777889,22.232,-0.38,105.94456993564012,26.881458043371378,18.63,30.0
01a58111o0917o,58111.60865415,>20.06,0.00,3.0,o,6908.57,7431.46,-1841.0,625.9,103.0,-54.0,6.1,11.47,177.7,183.1,3.83,3.12,1.0,3.0,197.44875,-23.3852777889,22.221,-0.412,-147.57944510999255,16.671011392054716,18.98,30.0
01a58111o0937o,58111.61781055,>20.10,0.00,3.0,o,6881.23,7371.50,640.7,615.2,82.0,-45.2,7.3,11.23,183.5,184.1,3.48,2.79,1.0,3.0,197.44875,-23.3852777889,22.230,-0.426,-100.83252142247862,16.28489837132951,19.12,30.0
01a58111o0938o,58111.61826835,>20.07,0.00,3.0,o,6934.80,7447.32,-3745.9,555.6,306.0,-60.7,6.2,8.56,173.4,183.1,3.72,3.17,1.0,3.0,197.44875,-23.3852777889,22.230,-0.402,-160.86799110800612,16.43132693360194,18.99,30.0
01a58111o0950o,58111.62380105,>20.15,0.00,3.0,o,6943.44,7316.05,-2102.6,656.5,327.0,-16.8,6.6,11.43,175.8,183.9,3.53,2.92,1.0,3.0,197.44875,-23.3852777889,22.234,-0.423,-39.53170845907158,15.530314037492404,19.1,30.0
01a58115o0932o,58115.61560765,19.06,0.21,4.65,o,9235.20,7861.53,1540.5,556.7,154.0,34.4,7.4,9.52,182.4,181.7,3.64,3.04,1.0,3.0,197.44875,-23.3852777889,22.230,-0.413,86.41958075710046,18.59025865123673,19.08,30.0
01a58115o0947o,58115.62250005,>20.00,0.00,3.0,o,9208.45,7803.93,-1280.9,662.3,160.0,-29.2,6.7,9.15,174.7,179.2,3.73,3.15,1.0,3.0,197.44875,-23.3852777889,22.236,-0.409,-77.17577197209515,17.708139459350598,19.05,30.0
01a58115o0961o,58115.62894435,18.69,0.14,7.19,o,9273.83,7861.72,2840.9,619.4,180.0,48.2,6.7,10.62,184.2,182.2,3.60,3.10,1.0,3.0,197.44875,-23.3852777889,22.238,-0.41,120.88988880629087,16.80419616187031,19.07,30.0
01a58115o0976o,58115.63584575,>20.10,0.00,3.0,o,9283.40,7724.80,627.3,644.5,113.0,-32.6,6.1,11.33,180.8,182.9,3.59,3.28,1.0,3.0,197.44875,-23.3852777889,22.239,-0.405,-85.79552530032252,16.053763936563413,19.05,30.0
01a58119o0894o,58119.60228915,>19.22,0.00,3.0,o,296.15,10050.60,6144.8,1441.7,285.0,-30.3,15.7,2.32,217.0,203.5,3.59,2.87,1.0,3.0,197.44875,-23.3852777889,22.247,-0.429,-70.81050947317208,36.6905940174522,18.33,30.0
01a58119o0909o,58119.60920225,>19.26,0.00,3.0,o,270.60,9992.18,1330.8,1702.7,209.0,-81.4,14.6,2.23,204.9,198.8,3.64,2.95,1.0,3.0,197.44875,-23.3852777889,22.251,-0.422,-196.25762990095689,35.20099995766548,18.28,30.0
01a58119o0914o,58119.61148915,19.91,0.72,1.07,o,10141.90,9977.83,-196.4,1464.4,162.0,15.0,14.0,2.76,165.3,166.7,3.80,3.08,1.0,3.0,197.44875,-23.3852777889,22.242,-0.416,39.527952359392415,36.89275553543292,18.23,30.0
01a58119o0918o,58119.61334255,>19.33,0.00,3.0,o,8699.95,219.66,-727.1,1274.4,73.0,-71.5,13.9,1.78,180.5,183.6,3.64,2.93,1.0,3.0,197.44875,-23.3852777889,22.257,-0.426,-170.90461531179776,33.22481332634949,18.33,30.0
01a58119o0924o,58119.61610175,>19.30,0.00,3.0,o,335.38,10051.00,1545.1,1396.0,192.0,-77.8,14.0,2.30,209.7,204.1,3.66,2.97,1.0,3.0,197.44875,-23.3852777889,22.254,-0.426,-190.0622547028257,34.201434008220566,18.34,30.0
01a58119o0929o,58119.61839415,>19.25,0.00,3.0,o,10114.90,9918.46,736.3,1499.8,162.0,5.7,14.9,2.09,171.8,171.9,3.63,2.93,1.0,3.0,197.44875,-23.3852777889,22.248,-0.426,13.700229626893513,35.812880954511115,18.27,30.0
01a58119o0933o,58119.62022955,>19.41,0.00,3.0,o,8674.07,160.22,-3962.3,1107.1,196.0,-77.7,13.1,1.89,173.0,185.5,3.62,2.92,1.0,3.0,197.44875,-23.3852777889,22.260,-0.423,-183.05904234450148,30.863236225392143,18.35,30.0
01a58119o0939o,58119.62300535,>19.21,0.00,3.0,o,347.98,9912.56,3997.1,1683.9,112.0,-49.2,14.5,1.77,200.7,195.7,3.57,3.18,1.0,3.0,197.44875,-23.3852777889,22.256,-0.404,-122.78326680194344,36.18612537862154,18.31,30.0
01a58119o0944o,58119.62531855,>19.28,0.00,3.0,o,10181.10,9975.35,-2691.3,1449.4,130.0,-35.9,13.9,1.88,169.8,173.3,3.71,2.99,1.0,3.0,197.44875,-23.3852777889,22.250,-0.417,-89.08781179908999,34.493609582377466,18.29,30.0
